cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11225,-0.1607,0.04061099410295384,0.0921,-0.1018277221423232,-0.0597,-0.03857064203789571
11226,0.1023,0.08606411510430285,0.2817,-0.022734375,0.2876,-0.04582718925120659
11227,0.3966,-0.0993575751883222,0.1315,0.05028165285767677,0.3108,-0.08488956912016787
11228,-0.7135,0.2928665430314066,0.0959,-0.18067705350790242,-0.3799,0.06811492392845274
11229,-0.1175,0.17608617886466876,0.1794,-4.4233105003788076e-4,0.0444,0.044729208706857655
11230,0.3283,-0.0031558471423232155,0.1608,0.06010123296210428,0.3028,-0.020326868016366392
11231,0.2689,-0.085976300114452,0.0087,0.05174185796210429,0.1311,-0.03713227122278486
11232,0.4476,-0.2643507094718561,0.1746,-0.11002963489569716,0.3903,-0.27168644412016785
11233,0.1791,0.03304163624027389,0.0094,0.11993666367013667,0.087,0.04966460377721514
11234,0.0929,-0.07698275989569715,0.0806,-0.07698275989569715,0.0548,-0.08591142850790244
11235,0.2394,0.05724272877721514,0.2283,0.0656887569836336,0.3004,-0.0072268209790375725
11236,0.0284,0.025328930715353554,-0.0101,0.025328930715353554,0.0338,-0.048254831050037875
11237,-0.3286,0.2420918489040041,-0.2707,0.21911225108658755,-0.3582,0.2420918489040041
11238,-0.2169,0.20795122390400406,-0.2413,0.20795122390400406,-0.2879,0.20795122390400406
11239,-0.1793,0.08787104995213472,-0.1743,0.08787104995213472,-0.1836,0.0658625523219032
11240,-0.2301,0.10420122390400409,-0.362,0.17749712641779697,-0.3684,0.15229332780981145
11241,-0.0709,0.21401316070450024,-0.053,0.20380059698000585,-0.0431,0.17394027446422633
11242,-0.227,0.20193977819722986,-0.3784,0.2776037047518531,-0.3812,0.25155962641779694
11243,-0.1794,0.12116430386466875,-0.1057,0.07834536910295382,-0.1642,0.08883210373743874
11244,0.0492,0.3236101807153535,-0.1781,0.47185747390400407,-0.0645,0.34314244806333577
11245,0.059,0.13259600760514348,-0.0046,0.16033560796210428,0.072,0.10580766894996213
11246,-0.3602,0.6319502514177969,-0.0445,0.4601850357045002,-0.2632,0.5356747510865876
11247,0.1367,0.02961771833690726,-0.0182,0.10150748296210428,0.1052,0.021079381983633606
11248,-0.0837,0.7487787857045003,0.255,0.5662671832189493,0.1089,0.6080552183369072
11249,-0.2128,0.2640708944060158,-0.0323,0.15441670870685767,-0.1257,0.19253402446422632
11250,0.048,-0.11839579129314236,-0.0094,-0.08027847553577368,0.0628,-0.15473955350790244
11251,0.0677,-0.31287317693666417,0.2627,-0.4318893680163664,0.1862,-0.4486910908452441
11252,-0.0117,-0.05037583632986333,0.0054,-0.06854525989569715,0.0368,-0.08630170605003788
11253,-0.0283,0.02839339946422634,0.0631,-0.018969586329863324,0.0695,-0.05489545605003788
11254,-0.2682,0.20850805386466875,0.1649,-0.02717031678105065,-0.0473,0.058767882605143484
11255,0.0263,-0.1991926785079024,-0.0829,-0.12473160053577365,-0.0162,-0.20802045605003788
11256,-0.2361,0.42305894059505145,-0.4427,0.551420699416361,-0.3822,0.47190296948671856
11257,0.4146,0.09904041999499685,0.0047,0.31923663260514346,0.3166,0.13407992481167777
11258,0.1606,0.42192349010430286,0.2395,0.37826688198363356,0.2416,0.33692125584742855
11259,0.0333,0.45767103867013664,0.1422,0.3958450069836336,0.1238,0.38739897877721513
11260,0.229,0.14296351124027387,0.0508,0.22985853867013667,0.2336,0.11867399009181209
11261,-0.0588,0.38607417495213475,-0.3546,0.560405074416361,-0.2192,0.4439710281972299
11262,-0.207,0.4653710499521347,0.008,0.33228873296210426,-0.0791,0.3610496494642263
11263,0.2141,0.3793697612402739,-0.2541,0.640595688134363,-0.0085,0.47551045870685765
11264,0.006,0.3657371494642263,-0.1128,0.42664460373743873,-0.053900000000000003,0.3755643230633358
11265,0.1,0.45832295870685763,0.0675,0.46767935796210425,0.162,0.3957895933369072
11266,0.3335,0.37873381784899895,-0.027,0.5740008057153536,0.2289,0.409375
11267,-0.0393,0.4223611980633358,0.0587,0.36517103867013667,-0.0071,0.37441670870685767
11268,-0.1581,0.5761839405950514,0.0588,0.4258933994642264,-0.0979,0.4974302694060158
11269,0.1238,0.3090889189499621,0.1795,0.2747427287772151,0.1721,0.2418431308474286
11270,0.128,0.3514323214920976,0.0839,0.36939288260514347,0.1071,0.32524271833690727
11271,-0.0295,0.34829603867013664,0.1039,0.27802397877721513,0.0616,0.28647000698363356
11272,-0.0223,0.3794147958779987,0.0223,0.35134291367013665,-0.0388,0.36058858370685765
